Adoption,Died,Euthanasia,ID,Return_to_owner,Transfer
0.045,0.0,0.04,1,0.24,0.675
0.64,0.0,0.015,2,0.26,0.085
0.195,0.025,0.235,3,0.08,0.465
0.175,0.005,0.09,4,0.195,0.535
0.34,0.0,0.005,5,0.495,0.16
0.185,0.0,0.03,6,0.71,0.075
0.195,0.035,0.36,7,0.26,0.15
0.67,0.0,0.02,8,0.04,0.27
0.865,0.0,0.0,9,0.075,0.06
0.35,0.0,0.12,10,0.505,0.025
0.7,0.0,0.0,11,0.105,0.195
0.025,0.005,0.11,12,0.265,0.595
0.685,0.01,0.015,13,0.075,0.215
0.915,0.0,0.0,14,0.025,0.06
0.79,0.0,0.005,15,0.195,0.01
0.875,0.0,0.0,16,0.06,0.065
0.37,0.0,0.075,17,0.435,0.12
0.54,0.0,0.025,18,0.385,0.05
0.31,0.005,0.0,19,0.145,0.54
0.01,0.005,0.255,20,0.005,0.725
0.67,0.0,0.01,21,0.21,0.11
0.0,0.0,0.025,22,0.005,0.97
0.505,0.0,0.005,23,0.175,0.315
0.0,0.0,0.045,24,0.0,0.955
0.505,0.0,0.04,25,0.21,0.245
0.26,0.01,0.15,26,0.08,0.5
0.945,0.0,0.0,27,0.005,0.05
0.035,0.05,0.185,28,0.005,0.725
0.545,0.0,0.03,29,0.335,0.09
0.39,0.0,0.13,30,0.39,0.09
0.28,0.0,0.03,31,0.23,0.46
0.73,0.005,0.0,32,0.07,0.195
0.18,0.0,0.09,33,0.08,0.65
0.975,0.0,0.0,34,0.02,0.005
0.28,0.025,0.02,35,0.0,0.675
0.525,0.0,0.02,36,0.245,0.21
0.06,0.01,0.03,37,0.035,0.865
0.885,0.0,0.0,38,0.075,0.04
0.23,0.0,0.055,39,0.41,0.305
0.46,0.0,0.005,40,0.09,0.445
0.15,0.0,0.06,41,0.195,0.595
0.0,0.005,0.02,42,0.0,0.975
0.31,0.0,0.015,43,0.025,0.65
0.0,0.03,0.035,44,0.0,0.935
0.245,0.01,0.22,45,0.21,0.315
0.355,0.0,0.06,46,0.15,0.435
0.34,0.0,0.015,47,0.205,0.44
0.395,0.0,0.04,48,0.295,0.27
0.445,0.0,0.05,49,0.375,0.13
0.02,0.005,0.18,50,0.025,0.77
0.145,0.055,0.025,51,0.005,0.77
0.245,0.0,0.055,52,0.545,0.155
0.855,0.005,0.005,53,0.02,0.115
0.155,0.015,0.08,54,0.03,0.72
0.135,0.025,0.265,55,0.045,0.53
0.71,0.0,0.05,56,0.13,0.11
0.675,0.0,0.0,57,0.285,0.04
0.0,0.0,0.0,58,0.0,1.0
0.0,0.0,0.005,59,0.0,0.995
0.765,0.0,0.0,60,0.02,0.215
0.58,0.0,0.0,61,0.285,0.135
0.23,0.0,0.07,62,0.44,0.26
0.375,0.01,0.0,63,0.21,0.405
0.0,0.015,0.0,64,0.0,0.985
0.0,0.0,0.005,65,0.0,0.995
0.765,0.0,0.0,66,0.17,0.065
0.99,0.0,0.0,67,0.0,0.01
0.15,0.005,0.175,68,0.31,0.36
0.41,0.0,0.04,69,0.445,0.105
0.0,0.0,0.0,70,0.0,1.0
0.005,0.0,0.045,71,0.005,0.945
0.975,0.0,0.0,72,0.005,0.02
0.0,0.005,0.025,73,0.0,0.97
0.38,0.0,0.0,74,0.195,0.425
0.005,0.01,0.025,75,0.015,0.945
0.33,0.075,0.185,76,0.065,0.345
0.84,0.0,0.0,77,0.005,0.155
0.015,0.0,0.01,78,0.005,0.97
0.26,0.0,0.065,79,0.475,0.2
0.975,0.0,0.0,80,0.005,0.02
0.0,0.01,0.02,81,0.0,0.97
0.0,0.0,0.0,82,0.0,1.0
0.695,0.0,0.0,83,0.265,0.04
0.0,0.02,0.045,84,0.015,0.92
0.42,0.0,0.035,85,0.485,0.06
0.065,0.02,0.135,86,0.01,0.77
0.11,0.0,0.175,87,0.56,0.155
0.375,0.0,0.05,88,0.24,0.335
